id;qrraws;state
0;t=20230809T2200&s=328.67&fn=9960440503006980&i=17197&fp=2697031069&n=1;1
1;t=20230809T2318&s=227.82&fn=9960440302365866&i=121484&fp=1879436202&n=1;1
2;t=20230805T2105&s=1992.90&fn=9960440302365866&i=119183&fp=2638428128&n=1;1
3;t=20230731T1611&s=518.65&fn=9960440502952608&i=178324&fp=3476765613&n=1;1
4;t=20230701T1445&s=949.33&fn=7281440500032244&i=59502&fp=1859256065&n=1;1
5;t=20230706T1839&s=1273.60&fn=9960440301498862&i=48819&fp=492598835&n=1;1
6;t=20230720T1330&s=188.98&fn=9960440302365593&i=84219&fp=3335361966&n=1;1
7;t=20230714T2101&s=761.93&fn=9960440302365593&i=82776&fp=3158431961&n=1;1
8;t=20230701T1835&s=237.60&fn=9960440302365593&i=79816&fp=737368632&n=1;1
9;t=20230510T2154&s=1318.46&fn=9960440302365593&i=68545&fp=3816301232&n=1;1
10;t=20230526T2321&s=423.11&fn=9960440302365593&i=71968&fp=2526787066&n=1;1
11;t=20230604T1632&s=184.40&fn=9960440302359983&i=96562&fp=2580867143&n=1;1
12;t=20230527T1908&s=224.93&fn=9960440302365866&i=90771&fp=826909256&n=1;1
13;t=20230527T2339&s=103.99&fn=9960440302365866&i=90902&fp=1963389759&n=1;1
14;t=20230528T1456&s=143.98&fn=9960440302365512&i=68308&fp=477618759&n=1;1
15;t=20230628T1930&s=224.94&fn=9960440302365512&i=79795&fp=2374483683&n=1;1
16;t=20230622T2148&s=970.25&fn=9960440302365866&i=102570&fp=1468771573&n=1;1
17;t=20230625T1529&s=772.15&fn=9960440302365866&i=103549&fp=2285260077&n=1;1
18;t=20230711T2151&s=383.61&fn=9960440302365512&i=83943&fp=577830123&n=1;1
19;t=20230507T1339&s=1149.43&fn=9960440302365512&i=60856&fp=1435298780&n=1;1
20;t=20230611T1752&s=1414.97&fn=9960440302365512&i=73485&fp=3975584228&n=1;1
21;t=20230530T2238&s=249.84&fn=9960440302365512&i=69150&fp=2437020406&n=1;1
22;t=20230620T2233&s=2461.54&fn=9960440302365512&i=77350&fp=4105161171&n=1;1
23;t=20230709T2250&s=800.85&fn=9960440302365866&i=108635&fp=1759099634&n=1;1
24;t=20230720T0958&s=126.19&fn=9960440302365512&i=86169&fp=0006981776&n=1;1
25;t=20230503T2117&s=155.70&fn=9960440302365512&i=59977&fp=3713756006&n=1;1
26;t=20230721T1636&s=715.21&fn=9961440300305579&i=68881&fp=220365927&n=1;1
27;t=20230701T1604&s=1002.20&fn=9961440300305579&i=66741&fp=4128579713&n=1;1
28;t=20230618T1734&s=147.60&fn=9961440300305579&i=65248&fp=875079350&n=1;1
29;t=20230717T1959&s=939.60&fn=9961440300305579&i=68484&fp=716243279&n=1;1
30;t=20230421T1739&s=310.60&fn=9961440300305579&i=57934&fp=2938498466&n=1;1
31;t=20230530T1151&s=344.11&fn=9961440300305579&i=62945&fp=2225207938&n=1;1
32;t=20230521T1648&s=2064.97&fn=9961440300305579&i=61824&fp=3734946055&n=1;1
33;t=20230812T1420&s=736.54&fn=9961440300305579&i=71265&fp=698256398&n=1;1
34;t=20230706T1829&s=1290.08&fn=9961440300305579&i=67263&fp=1628383551&n=1;1
35;t=20230731T1618&s=951.81&fn=9961440300305579&i=69998&fp=30733548&n=1;1
